2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
;20010101;20020101;20030101;20040101;20050101;20060101;20070101;20080101;20090101;20100101;20110101;20120101;20130101;20140101;20150101;20160101;20170101;20180101;20190101;20200101;20210101
;20010109;;20030109;20040109;20050109;20060109;20070109;20080109;20090109;20100109;20110109;20120109;20130109;20140109;20150109;20160109;20170109;20180109;20190109;20200109;20210109
;20010117;;20030117;20040117;20050117;20060117;20070117;20080117;20090117;20100117;20110117;20120117;20130117;20140117;20150117;20160117;20170117;20180117;20190117;20200117;20210117
;20010125;20020125;20030125;20040125;20050125;20060125;20070125;20080125;20090125;20100125;20110125;20120125;20130125;20140125;20150125;20160125;20170125;20180125;20190125;20200125;20210125
;20010202;;20030202;20040202;20050202;20060202;20070202;20080202;20090202;20100202;20110202;20120202;20130202;20140202;20150202;20160202;20170202;20180202;20190202;20200202;20210202
;20010210;20020210;20030210;20040210;20050210;20060210;20070210;20080210;20090210;20100210;20110210;20120210;20130210;20140210;20150210;20160210;20170210;20180210;20190210;20200210;20210210
20000218;20010218;20020218;20030218;20040218;20050218;20060218;20070218;20080218;20090218;20100218;20110218;20120218;20130218;20140218;20150218;20160218;20170218;20180218;20190218;20200218;20210218
20000226;20010226;20020226;20030226;20040226;20050226;20060226;20070226;20080226;20090226;20100226;20110226;20120226;20130226;20140226;20150226;20160226;20170226;20180226;20190226;20200226;20210226
20000305;20010306;;20030306;20040305;20050306;20060306;20070306;20080305;20090306;20100306;20110306;20120305;20130306;20140306;20150306;20160305;20170306;20180306;20190306;20200305;20210306
20000313;20010314;;20030314;20040313;20050314;20060314;20070314;20080313;20090314;20100314;20110314;20120313;20130314;20140314;20150314;20160313;20170314;20180314;20190314;20200313;20210314
20000321;20010322;;20030322;20040321;20050322;20060322;20070322;20080321;20090322;20100322;20110322;20120321;20130322;20140322;20150322;20160321;20170322;20180322;20190322;20200321;20210322
20000329;20010330;20020330;20030330;20040329;20050330;20060330;20070330;20080329;20090330;20100330;20110330;20120329;20130330;20140330;20150330;20160329;20170330;20180330;20190330;20200329;20210330
20000406;20010407;20020407;20030407;20040406;20050407;20060407;20070407;20080406;20090407;20100407;20110407;20120406;20130407;20140407;20150407;20160406;20170407;20180407;20190407;20200406;20210407
20000414;20010415;20020415;20030415;20040414;20050415;20060415;20070415;20080414;20090415;20100415;20110415;20120414;20130415;20140415;20150415;20160414;20170415;20180415;20190415;20200414;20210415
20000422;20010423;20020423;20030423;20040422;20050423;20060423;20070423;20080422;20090423;20100423;20110423;20120422;20130423;20140423;20150423;20160422;20170423;20180423;20190423;20200422;20210423
20000430;20010501;20020501;20030501;20040430;20050501;20060501;20070501;20080430;20090501;20100501;20110501;20120430;20130501;20140501;20150501;20160430;20170501;20180501;20190501;20200430;20210501
20000508;20010509;20020509;20030509;20040508;20050509;20060509;20070509;20080508;20090509;20100509;20110509;20120508;20130509;20140509;20150509;20160508;20170509;20180509;20190509;20200508;20210509
20000516;20010517;20020517;20030517;20040516;20050517;20060517;20070517;20080516;20090517;20100517;20110517;20120516;20130517;20140517;20150517;20160516;20170517;20180517;20190517;20200516;20210517
20000524;20010525;20020525;20030525;20040524;20050525;20060525;20070525;20080524;20090525;20100525;20110525;20120524;20130525;20140525;20150525;20160524;20170525;20180525;20190525;20200524;20210525
20000601;20010602;20020602;20030602;20040601;20050602;20060602;20070602;20080601;20090602;20100602;20110602;20120601;20130602;20140602;20150602;20160601;20170602;20180602;20190602;20200601;20210602
20000609;20010610;20020610;20030610;20040609;20050610;20060610;20070610;20080609;20090610;20100610;20110610;20120609;20130610;20140610;20150610;20160609;20170610;20180610;20190610;20200609;20210610
20000617;;20020618;20030618;20040617;20050618;20060618;20070618;20080617;20090618;20100618;20110618;20120617;20130618;20140618;20150618;20160617;20170618;20180618;20190618;20200617;20210618
